subject;session;block;bad_channel;note
5;10;11;0133;
5;10;11;0342;
5;10;11;1313;
5;10;12;1241;
5;10;12;2641;
5;10;12;0821;
5;10;12;0133;
5;10;12;0342;
5;10;12;1313;
5;10;13;1241;
5;10;13;2641;
5;10;13;0821;
5;10;13;0133;
5;10;13;0342;
5;10;13;1313;
5;10;13;0921;
5;10;14;1241;
5;10;14;2641;
5;10;14;0821;
5;10;14;0133;
5;10;14;0342;
5;10;14;1313;
4;1;1;1241;
4;1;1;2641;
4;1;1;0821;
4;1;1;0342;
4;1;1;1313;
4;1;2;1241;
4;1;2;2641;
4;1;2;0821;
4;1;2;0342;
4;1;2;1313;
4;1;2;2011;heated
4;1;3;1241;
4;1;3;2641;
4;1;3;0821;
4;1;3;0342;
4;1;3;1313;
4;1;4;1241;
4;1;4;2641;
4;1;4;0821;
4;1;4;0342;
4;1;4;1313;
4;1;4;2331;heated
4;1;4;2441;heated
4;1;5;1241;
4;1;5;2641;
4;1;5;0821;
4;1;5;0342;
4;1;5;1313;
4;1;6;1241;
4;1;6;2641;
4;1;6;0821;
4;1;6;0342;
4;1;6;1313;
4;1;7;1241;
4;1;7;2641;
4;1;7;0821;
4;1;7;0342;
4;1;7;1313;
4;1;8;1241;
4;1;8;2641;
4;1;8;0821;
4;1;8;0342;
4;1;8;1313;
4;1;9;1241;
4;1;9;2641;
4;1;9;0821;
4;1;9;0342;
4;1;9;1313;
4;1;9;2011;
4;1;10;1241;
4;1;10;2641;
4;1;10;0821;
4;1;10;0342;
4;1;10;1313;
4;1;10;2011;heated
4;2;b;1241;
4;2;b;2641;
4;2;b;0821;
4;2;b;0342;
4;2;b;1313;
4;2;b;1531;
4;2;1;1241;
4;2;1;2641;
4;2;1;0821;
4;2;1;0342;
4;2;1;1313;
4;2;1;1531;
4;2;2;1241;
4;2;2;2641;
4;2;2;0821;
4;2;2;0342;
4;2;2;1313;
4;2;2;1531;
4;2;3;1241;
4;2;3;2641;
4;2;3;0821;
4;2;3;0342;
4;2;3;1313;
4;2;3;1531;
4;2;4;1241;
4;2;4;2641;
4;2;4;0821;
4;2;4;0342;
4;2;4;1313;
4;2;4;1531;
4;2;5;1241;
4;2;5;2641;
4;2;5;0821;
4;2;5;0342;
4;2;5;1313;
4;2;5;1531;
4;2;6;1241;
4;2;6;2641;
4;2;6;0821;
4;2;6;0342;
4;2;6;1313;
4;2;6;1531;
4;2;7;1241;
4;2;7;2641;
4;2;7;0821;
4;2;7;0342;
4;2;7;1313;
4;2;7;1531;
4;2;8;1241;
4;2;8;2641;
4;2;8;0821;
4;2;8;0342;
4;2;8;1313;
4;2;8;1531;
4;2;9;1241;
4;2;9;2641;
4;2;9;0821;
4;2;9;0342;
4;2;9;1313;
4;2;9;1531;
4;2;10;1241;
4;2;10;2641;
4;2;10;0821;
4;2;10;0342;
4;2;10;1313;
4;2;10;1531;
4;2;11;1241;
4;2;11;2641;
4;2;11;0821;
4;2;11;0342;
4;2;11;1313;
4;2;11;1531;
4;2;12;1241;
4;2;12;2641;
4;2;12;0821;
4;2;12;0342;
4;2;12;1313;
4;2;12;1531;
4;2;13;1241;
4;2;13;2641;
4;2;13;0821;
4;2;13;0342;
4;2;13;1313;
4;2;13;1531;
4;2;14;1241;
4;2;14;2641;
4;2;14;0821;
4;2;14;0342;
4;2;14;1313;
4;2;14;1531;
4;2;d;1241;
4;2;d;2641;
4;2;d;0821;
4;2;d;0342;
4;2;d;1313;
4;2;d;1531;
4;3;1;1241;
4;3;1;2641;
4;3;1;0821;
4;3;1;2441;
4;3;1;0342;
4;3;1;1313;
4;3;1;1531;
4;3;2;1241;
4;3;2;2641;
4;3;2;0821;
4;3;2;2441;heated
4;3;2;0342;
4;3;2;1313;
4;3;2;1531;
4;3;3;1241;
4;3;3;2641;
4;3;3;0821;
4;3;3;0342;
4;3;3;1313;
4;3;3;1531;
4;3;4;1241;
4;3;4;2641;
4;3;4;0821;
4;3;4;0342;
4;3;4;1313;
4;3;4;1531;
4;3;4;1121;heated
4;3;5;1241;
4;3;5;2641;
4;3;5;0821;
4;3;5;0342;
4;3;5;1313;
4;3;5;1531;
4;3;6;1241;
4;3;6;2641;
4;3;6;0821;
4;3;6;0342;
4;3;6;1313;
4;3;6;1531;
4;3;7;1241;
4;3;7;2641;
4;3;7;0821;
4;3;7;0342;
4;3;7;1313;
4;3;7;1531;
4;3;7;2143;heated
4;3;8;1241;
4;3;8;2641;
4;3;8;0821;
4;3;8;0342;
4;3;8;1313;
4;3;8;1531;
4;3;9;1241;
4;3;9;2641;
4;3;9;0821;
4;3;9;0342;
4;3;9;1313;
4;3;9;1531;
4;3;10;1241;
4;3;10;2641;
4;3;10;0821;
4;3;10;0342;
4;3;10;1313;
4;3;10;1531;
4;3;11;1241;
4;3;11;2641;
4;3;11;0821;
4;3;11;0342;
4;3;11;1313;
4;3;11;1531;
4;3;12;1241;
4;3;12;2641;
4;3;12;0821;
4;3;12;0342;
4;3;12;1313;
4;3;12;1531;
4;3;13;1241;
4;3;13;2641;
4;3;13;0821;
4;3;13;0342;
4;3;13;1313;
4;3;13;1531;
4;3;14;1241;
4;3;14;2641;
4;3;14;0821;
4;3;14;0342;
4;3;14;1313;
4;3;14;1531;
4;4;1;1241;
4;4;1;2641;
4;4;1;0821;
4;4;1;0342;
4;4;1;1313;
4;4;1;1531;
4;4;2;1241;
4;4;2;2641;
4;4;2;0821;
4;4;2;0342;
